,Title,Series,Place,Date and time
0,T20I,INDIA V ENGLAND 2021,"Narendra Modi Stadium, Ahmedabad",Friday 12 MARCH 19:00 IST
1,T20I,INDIA V ENGLAND 2021,"Narendra Modi Stadium, Ahmedabad",Sunday 14 MARCH 19:00 IST
2,T20I,INDIA V ENGLAND 2021,"Narendra Modi Stadium, Ahmedabad",Tuesday 16 MARCH 19:00 IST
3,T20I,INDIA V ENGLAND 2021,"Narendra Modi Stadium, Ahmedabad",Thursday 18 MARCH 19:00 IST
4,T20I,INDIA V ENGLAND 2021,"Narendra Modi Stadium, Ahmedabad",Saturday 20 MARCH 19:00 IST
5,ODI,INDIA V ENGLAND 2021,"Maharashtra Cricket Association Stadium, Pune",Tuesday 23 MARCH 13:30 IST
6,ODI,INDIA V ENGLAND 2021,"Maharashtra Cricket Association Stadium, Pune",Friday 26 MARCH 13:30 IST
7,ODI,INDIA V ENGLAND 2021,"Maharashtra Cricket Association Stadium, Pune",Sunday 28 MARCH 13:30 IST
8,TEST,ENGLAND V INDIA 2021,"Trent Bridge, Nottingham",Wednesday 04 AUGUST 15:30 IST
9,TEST,ENGLAND V INDIA 2021,"Lord's, London",Thursday 12 AUGUST 15:30 IST
10,TEST,ENGLAND V INDIA 2021,"Headingley, Leeds",Wednesday 25 AUGUST 15:30 IST
11,TEST,ENGLAND V INDIA 2021,"The Oval, London",Thursday 02 SEPTEMBER 15:30 IST
12,TEST,ENGLAND V INDIA 2021,"Old Trafford, Manchester",Friday 10 SEPTEMBER 15:30 IST
