,Name,Data Type,Task Type,Attribute Types,Number of Instances,Number of Attributes,Year
0,Abalone,Multivariate ,Classification ,"Categorical, Integer, Real ",4177 ,8 ,1995 
1,Adult,Multivariate ,Classification ,"Categorical, Integer ",48842 ,14 ,1996 
2,Annealing,Multivariate ,Classification ,"Categorical, Integer, Real ",798 ,38 , 
3,Anonymous Microsoft Web Data, ,Recommender-Systems ,Categorical ,37711 ,294 ,1998 
4,Arrhythmia,Multivariate ,Classification ,"Categorical, Integer, Real ",452 ,279 ,1998 
5,Artificial Characters,Multivariate ,Classification ,"Categorical, Integer, Real ",6000 ,7 ,1992 
6,Audiology (Original),Multivariate ,Classification ,Categorical ,226 , ,1987 
7,Audiology (Standardized),Multivariate ,Classification ,Categorical ,226 ,69 ,1992 
8,Auto MPG,Multivariate ,Regression ,"Categorical, Real ",398 ,8 ,1993 
9,Automobile,Multivariate ,Regression ,"Categorical, Integer, Real ",205 ,26 ,1987 
10,Badges,"Univariate, Text ",Classification , ,294 ,1 ,1994 
11,Balance Scale,Multivariate ,Classification ,Categorical ,625 ,4 ,1994 
12,Balloons,Multivariate ,Classification ,Categorical ,16 ,4 , 
13,Breast Cancer,Multivariate ,Classification ,Categorical ,286 ,9 ,1988 
14,Breast Cancer Wisconsin (Original),Multivariate ,Classification ,Integer ,699 ,10 ,1992 
15,Breast Cancer Wisconsin (Prognostic),Multivariate ,"Classification, Regression ",Real ,198 ,34 ,1995 
16,Breast Cancer Wisconsin (Diagnostic),Multivariate ,Classification ,Real ,569 ,32 ,1995 
17,Pittsburgh Bridges,Multivariate ,Classification ,"Categorical, Integer ",108 ,13 ,1990 
18,Car Evaluation,Multivariate ,Classification ,Categorical ,1728 ,6 ,1997 
19,Census Income,Multivariate ,Classification ,"Categorical, Integer ",48842 ,14 ,1996 
20,Chess (King-Rook vs. King-Knight),"Multivariate, Data-Generator ",Classification ,"Categorical, Integer ", ,22 ,1988 
21,Chess (King-Rook vs. King-Pawn),Multivariate ,Classification ,Categorical ,3196 ,36 ,1989 
22,Chess (King-Rook vs. King),Multivariate ,Classification ,"Categorical, Integer ",28056 ,6 ,1994 
23,Chess (Domain Theories),Domain-Theory , , , , , 
24,Bach Chorales,"Univariate, Time-Series ", ,"Categorical, Integer ",100 ,6 , 
25,Connect-4,"Multivariate, Spatial ",Classification ,Categorical ,67557 ,42 ,1995 
26,Credit Approval,Multivariate ,Classification ,"Categorical, Integer, Real ",690 ,15 , 
27,Japanese Credit Screening,"Multivariate, Domain-Theory ",Classification ,"Categorical, Real, Integer ",125 , ,1992 
28,Computer Hardware,Multivariate ,Regression ,Integer ,209 ,9 ,1987 
29,Contraceptive Method Choice,Multivariate ,Classification ,"Categorical, Integer ",1473 ,9 ,1997 
30,Covertype,Multivariate ,Classification ,"Categorical, Integer ",581012 ,54 ,1998 
31,Cylinder Bands,Multivariate ,Classification ,"Categorical, Integer, Real ",512 ,39 ,1995 
32,Dermatology,Multivariate ,Classification ,"Categorical, Integer ",366 ,33 ,1998 
33,Diabetes,"Multivariate, Time-Series ", ,"Categorical, Integer ", ,20 , 
34,DGP2 - The Second Data Generation Program,Data-Generator , ,Real , , , 
35,Document Understanding, , , , , ,1994 
36,EBL Domain Theories, , , , , , 
37,Echocardiogram,Multivariate ,Classification ,"Categorical, Integer, Real ",132 ,12 ,1989 
38,Ecoli,Multivariate ,Classification ,Real ,336 ,8 ,1996 
39,Flags,Multivariate ,Classification ,"Categorical, Integer ",194 ,30 ,1990 
40,Function Finding, ,Function-Learning ,Real ,352 , ,1990 
41,Glass Identification,Multivariate ,Classification ,Real ,214 ,10 ,1987 
42,Haberman's Survival,Multivariate ,Classification ,Integer ,306 ,3 ,1999 
43,Hayes-Roth,Multivariate ,Classification ,Categorical ,160 ,5 ,1989 
44,Heart Disease,Multivariate ,Classification ,"Categorical, Integer, Real ",303 ,75 ,1988 
45,Hepatitis,Multivariate ,Classification ,"Categorical, Integer, Real ",155 ,19 ,1988 
46,Horse Colic,Multivariate ,Classification ,"Categorical, Integer, Real ",368 ,27 ,1989 
47,ICU,"Multivariate, Time-Series ", ,Real , , , 
48,Image Segmentation,Multivariate ,Classification ,Real ,2310 ,19 ,1990 
49,Internet Advertisements,Multivariate ,Classification ,"Categorical, Integer, Real ",3279 ,1558 ,1998 
50,Ionosphere,Multivariate ,Classification ,"Integer, Real ",351 ,34 ,1989 
51,Iris,Multivariate ,Classification ,Real ,150 ,4 ,1988 
52,ISOLET,Multivariate ,Classification ,Real ,7797 ,617 ,1994 
53,Kinship,Relational ,Relational-Learning ,Categorical ,104 ,12 ,1990 
54,Labor Relations,Multivariate , ,"Categorical, Integer, Real ",57 ,16 ,1988 
