,Title and Years span,Runtime,Rating,Number of votes,Genre
0,Game of Thrones (2011–2019),57 min,9.3,"1,778,939","Action, Adventure, Drama"
1,Stranger Things (2016– ),51 min,8.7,"829,459","Drama, Fantasy, Horror"
2,The Walking Dead (2010– ),44 min,8.2,"857,085","Drama, Horror, Thriller"
3,13 Reasons Why (2017–2020),60 min,7.6,"257,294","Drama, Mystery, Thriller"
4,The 100 (2014–2020),43 min,7.6,"217,853","Drama, Mystery, Sci-Fi"
5,Orange Is the New Black (2013–2019),59 min,8.1,"279,522","Comedy, Crime, Drama"
6,Riverdale (2017– ),45 min,6.9,"119,847","Crime, Drama, Mystery"
7,Grey's Anatomy (2005– ),41 min,7.6,"252,612","Drama, Romance"
8,The Flash (2014– ),43 min,7.7,"306,434","Action, Adventure, Drama"
9,Arrow (2012–2020),42 min,7.5,"408,410","Action, Adventure, Crime"
10,Money Heist (2017– ),70 min,8.3,"302,936","Action, Crime, Mystery"
11,The Big Bang Theory (2007–2019),22 min,8.1,"725,530","Comedy, Romance"
12,Black Mirror (2011– ),60 min,8.8,"447,764","Drama, Sci-Fi, Thriller"
13,Sherlock (2010–2017),88 min,9.1,"811,082","Crime, Drama, Mystery"
14,Vikings (2013–2020),44 min,8.5,"436,108","Action, Adventure, Drama"
15,Pretty Little Liars (2010–2017),44 min,7.4,"152,731","Drama, Mystery, Romance"
16,The Vampire Diaries (2009–2017),43 min,7.7,"284,404","Drama, Fantasy, Horror"
17,American Horror Story (2011– ),60 min,8,"278,379","Drama, Horror, Thriller"
18,Breaking Bad (2008–2013),49 min,9.5,"1,475,047","Crime, Drama, Thriller"
19,Lucifer (2016– ),42 min,8.1,"234,958","Crime, Drama, Fantasy"
20,Supernatural (2005–2020),44 min,8.4,"393,951","Drama, Fantasy, Horror"
21,Prison Break (2005–2017),44 min,8.3,"478,350","Action, Crime, Drama"
22,How to Get Away with Murder (2014–2020),43 min,8.1,"130,367","Crime, Drama, Mystery"
23,Teen Wolf (2011–2017),41 min,7.6,"127,504","Action, Drama, Fantasy"
24,The Simpsons (1989– ),22 min,8.6,"366,995","Animation, Comedy"
25,Once Upon a Time (2011–2018),60 min,7.7,"209,042","Adventure, Fantasy, Romance"
26,Narcos (2015–2017),49 min,8.8,"359,972","Biography, Crime, Drama"
27,Daredevil (2015–2018),54 min,8.6,"363,885","Action, Crime, Drama"
28,Friends (1994–2004),22 min,8.9,"832,990","Comedy, Romance"
29,How I Met Your Mother (2005–2014),22 min,8.3,"605,429","Comedy, Romance"
